sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,79.04773622047244,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,79.04773622047244,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,79.04773622047244,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,79.04773622047244,0.0,0.0,0.0
19,0.0,78.43257874015748,0.0,0.0
20,0.0,0.0,0.0,0.0
21,79.04773622047244,0.0,0.0,78.74015748031496
22,0.0,0.0,0.0,0.0
23,0.0,-78.43257874015748,0.0,0.0
24,395.2386811023622,0.0,-157.48031496062993,0.0
25,948.8804133858267,0.0,0.0,0.0
26,1186.3312007874015,0.0,0.0,0.0
27,1819.0206692913387,0.0,0.0,0.0
28,1502.5221456692914,0.0,0.0,0.0
29,2056.1638779527557,0.0,0.0,0.0
30,2767.9010826771655,0.0,0.0,0.0
31,3084.399606299213,0.0,0.0,0.0
32,3875.1845472440946,0.0,0.0,0.0
33,4191.683070866142,0.0,0.0,0.0
34,4666.277066929134,-78.43257874015748,0.0,0.0
35,5298.966535433071,-78.43257874015748,0.0,0.0
36,5773.560531496063,0.0,0.0,0.0
37,5931.656003937008,0.0,0.0,0.0
38,6248.154527559055,0.0,0.0,78.74015748031496
39,6485.297736220473,0.0,0.0,0.0
40,6564.345472440945,0.0,0.0,0.0
41,6880.843996062992,0.0,0.0,78.74015748031496
42,6959.891732283465,-78.43257874015748,0.0,0.0
43,7117.98720472441,0.0,0.0,0.0
44,7117.98720472441,0.0,0.0,78.74015748031496
45,6880.843996062992,0.0,0.0,0.0
46,6880.843996062992,0.0,0.0,0.0
47,6643.393208661418,0.0,0.0,0.0
48,6485.297736220473,0.0,0.0,0.0
49,6168.799212598426,0.0,0.0,0.0
