point_index,num_pulses,x_target_nm,y_target_nm,x_nm_avg,y_nm_avg,peak_intensity_mV_avg
1,3,-1250000,-1250000,-627.4606299212599,0.0,789.554625984252
2,3,-1000000,-1250000,-2509.8425196850394,0.0,710.5068897637796
3,3,-750000,-1250000,-1882.3818897637796,0.0,710.5068897637796
4,3,-500000,-1250000,-1882.3818897637796,0.0,710.5068897637796
5,3,-250000,-1250000,-627.4606299212599,0.0,710.5068897637796
6,3,0,-1250000,0.0,0.0,710.5068897637796
7,3,250000,-1250000,-1882.3818897637796,0.0,710.5068897637796
8,3,500000,-1250000,-627.4606299212599,-1259.8425196850394,710.5068897637796
9,3,750000,-1250000,1882.3818897637796,0.0,710.5068897637796
10,3,1000000,-1250000,0.0,0.0,710.5068897637796
11,3,1250000,-1250000,-627.46062992126,-1259.8425196850394,710.5068897637796
12,3,-1250000,-1000000,0.0,0.0,710.5068897637796
13,3,-1000000,-1000000,-1254.9212598425197,0.0,710.5068897637796
14,3,-750000,-1000000,1254.9212598425197,0.0,710.5068897637796
15,3,-500000,-1000000,-3137.3031496062995,0.0,710.5068897637796
16,3,-250000,-1000000,-2509.8425196850394,0.0,710.5068897637796
17,3,0,-1000000,-1254.92125984252,0.0,710.5068897637796
18,3,250000,-1000000,-627.4606299212599,0.0,710.5068897637796
19,3,500000,-1000000,-1254.9212598425197,0.0,710.5068897637796
20,3,750000,-1000000,0.0,0.0,631.7667322834645
21,3,1000000,-1000000,-3137.3031496062995,0.0,710.5068897637796
22,3,1250000,-1000000,-1882.3818897637796,-1259.8425196850394,710.5068897637796
23,3,-1250000,-750000,-3764.763779527559,-1259.8425196850394,631.7667322834645
24,3,-1000000,-750000,0.0,0.0,710.5068897637796
25,3,-750000,-750000,1882.3818897637796,0.0,631.7667322834645
26,3,-500000,-750000,-1882.3818897637796,-1259.8425196850394,710.5068897637796
27,3,-250000,-750000,-3137.3031496062995,0.0,710.5068897637796
28,3,0,-750000,-1882.3818897637796,0.0,631.7667322834645
29,3,250000,-750000,-627.46062992126,0.0,710.5068897637796
30,3,500000,-750000,0.0,-2519.685039370079,710.5068897637796
31,3,750000,-750000,-1254.9212598425197,-1259.8425196850394,710.5068897637796
32,3,1000000,-750000,-2509.8425196850394,0.0,710.5068897637796
33,3,1250000,-750000,-3137.3031496062995,0.0,631.7667322834645
34,3,-1250000,-500000,-1882.3818897637796,-1259.8425196850394,631.7667322834645
35,3,-1000000,-500000,-3137.3031496062995,0.0,710.5068897637796
36,3,-750000,-500000,-3137.3031496062995,0.0,631.7667322834645
37,3,-500000,-500000,-1882.3818897637796,0.0,631.7667322834645
38,3,-250000,-500000,-2509.8425196850394,0.0,631.7667322834645
39,3,0,-500000,-1882.3818897637796,0.0,631.7667322834645
