sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,79.04773622047244,78.43257874015748,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,79.04773622047244,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,79.04773622047244,0.0,0.0,0.0
10,0.0,0.0,0.0,-78.74015748031496
11,79.04773622047244,0.0,0.0,0.0
12,0.0,0.0,0.0,-78.74015748031496
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-78.74015748031496
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,79.04773622047244,0.0,0.0,-78.74015748031496
24,869.8326771653543,0.0,0.0,0.0
25,948.8804133858267,0.0,0.0,0.0
26,1423.474409448819,0.0,0.0,0.0
27,1739.9729330708662,0.0,0.0,236.83562992125985
28,1739.9729330708662,0.0,0.0,394.62352362204723
29,2530.7578740157483,0.0,0.0,552.7189960629921
30,2926.3041338582675,0.0,0.0,631.7667322834645
31,3479.9458661417325,78.43257874015748,0.0,473.6712598425197
32,3954.5398622047246,0.0,0.0,157.7878937007874
33,4270.730807086614,0.0,0.0,-157.7878937007874
34,4824.372539370079,0.0,0.0,-552.7189960629921
35,5378.014271653543,0.0,0.0,-710.5068897637796
36,5773.560531496063,0.0,0.0,-789.554625984252
37,6010.703740157481,78.43257874015748,0.0,-631.7667322834645
38,6406.25,0.0,0.0,-394.62352362204723
39,6564.345472440945,0.0,0.0,-157.7878937007874
40,6880.843996062992,-78.43257874015748,0.0,-157.7878937007874
41,6959.891732283465,0.0,0.0,-157.7878937007874
42,6880.843996062992,0.0,0.0,-157.7878937007874
43,6959.891732283465,0.0,0.0,-236.83562992125985
44,6880.843996062992,0.0,0.0,-157.7878937007874
45,6880.843996062992,0.0,0.0,-157.7878937007874
46,6880.843996062992,-78.43257874015748,0.0,-157.7878937007874
47,6643.393208661418,0.0,0.0,-157.7878937007874
48,6406.25,0.0,0.0,-78.74015748031496
49,6168.799212598426,0.0,0.0,-78.74015748031496
