global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,1,1,-1250000,-1250000,3764.763779527559,0.0,710.5068897637796
,1,2,-1250000,-1250000,-3764.763779527559,0.0,236.83562992125985
,1,3,-1250000,-1250000,-1882.3818897637796,0.0,789.554625984252
,2,1,-1000000,-1250000,-1882.3818897637796,0.0,710.5068897637796
,2,2,-1000000,-1250000,-1882.3818897637796,0.0,315.88336614173227
,2,3,-1000000,-1250000,-3764.763779527559,0.0,710.5068897637796
,3,1,-750000,-1250000,-3764.763779527559,0.0,710.5068897637796
,3,2,-750000,-1250000,-1882.3818897637796,0.0,236.83562992125985
,3,3,-750000,-1250000,0.0,0.0,631.7667322834645
,4,1,-500000,-1250000,-1882.3818897637796,0.0,710.5068897637796
,4,2,-500000,-1250000,0.0,0.0,236.83562992125985
,4,3,-500000,-1250000,-3764.763779527559,0.0,710.5068897637796
,5,1,-250000,-1250000,1882.3818897637796,0.0,710.5068897637796
,5,2,-250000,-1250000,-1882.3818897637796,0.0,236.83562992125985
,5,3,-250000,-1250000,-1882.3818897637796,0.0,710.5068897637796
,6,1,0,-1250000,0.0,0.0,710.5068897637796
,6,2,0,-1250000,-1882.3818897637796,0.0,236.83562992125985
,6,3,0,-1250000,1882.3818897637796,0.0,710.5068897637796
,7,1,250000,-1250000,1882.3818897637796,0.0,631.7667322834645
,7,2,250000,-1250000,-5647.145669291339,0.0,315.88336614173227
,7,3,250000,-1250000,-1882.3818897637796,0.0,710.5068897637796
,8,1,500000,-1250000,-1882.3818897637796,0.0,710.5068897637796
,8,2,500000,-1250000,0.0,-3779.527559055118,236.83562992125985
,8,3,500000,-1250000,0.0,0.0,631.7667322834645
,9,1,750000,-1250000,1882.3818897637796,0.0,710.5068897637796
,9,2,750000,-1250000,1882.3818897637796,0.0,236.83562992125985
,9,3,750000,-1250000,1882.3818897637796,0.0,631.7667322834645
,10,1,1000000,-1250000,1882.3818897637796,0.0,710.5068897637796
,10,2,1000000,-1250000,-1882.3818897637796,0.0,315.88336614173227
,10,3,1000000,-1250000,0.0,0.0,631.7667322834645
,11,1,1250000,-1250000,3764.763779527559,-3779.527559055118,710.5068897637796
,11,2,1250000,-1250000,-5647.145669291339,0.0,236.83562992125985
,11,3,1250000,-1250000,0.0,0.0,710.5068897637796
,12,1,-1250000,-1000000,1882.3818897637796,0.0,631.7667322834645
,12,2,-1250000,-1000000,0.0,0.0,236.83562992125985
,12,3,-1250000,-1000000,-1882.3818897637796,0.0,710.5068897637796
,13,1,-1000000,-1000000,-1882.3818897637796,0.0,710.5068897637796
,13,2,-1000000,-1000000,-1882.3818897637796,0.0,236.83562992125985
,13,3,-1000000,-1000000,0.0,0.0,710.5068897637796
,14,1,-750000,-1000000,3764.763779527559,0.0,631.7667322834645
,14,2,-750000,-1000000,-1882.3818897637796,0.0,236.83562992125985
,14,3,-750000,-1000000,1882.3818897637796,0.0,710.5068897637796
,15,1,-500000,-1000000,-3764.763779527559,0.0,710.5068897637796
,15,2,-500000,-1000000,-3764.763779527559,0.0,236.83562992125985
,15,3,-500000,-1000000,-1882.3818897637796,0.0,710.5068897637796
,16,1,-250000,-1000000,-3764.763779527559,0.0,710.5068897637796
,16,2,-250000,-1000000,-3764.763779527559,0.0,236.83562992125985
,16,3,-250000,-1000000,0.0,0.0,631.7667322834645
,17,1,0,-1000000,-1882.3818897637796,0.0,710.5068897637796
,17,2,0,-1000000,-3764.763779527559,0.0,315.88336614173227
,17,3,0,-1000000,1882.3818897637796,0.0,631.7667322834645
,18,1,250000,-1000000,0.0,0.0,710.5068897637796
,18,2,250000,-1000000,-1882.3818897637796,0.0,236.83562992125985
,18,3,250000,-1000000,0.0,0.0,631.7667322834645
,19,1,500000,-1000000,-1882.3818897637796,0.0,710.5068897637796
,19,2,500000,-1000000,0.0,0.0,236.83562992125985
,19,3,500000,-1000000,-1882.3818897637796,0.0,710.5068897637796
,20,1,750000,-1000000,3764.763779527559,0.0,631.7667322834645
,20,2,750000,-1000000,-1882.3818897637796,0.0,236.83562992125985
,20,3,750000,-1000000,-1882.3818897637796,0.0,631.7667322834645
,21,1,1000000,-1000000,-1882.3818897637796,0.0,710.5068897637796
,21,2,1000000,-1000000,-3764.763779527559,0.0,236.83562992125985
,21,3,1000000,-1000000,-3764.763779527559,0.0,631.7667322834645
,22,1,1250000,-1000000,1882.3818897637796,-3779.527559055118,631.7667322834645
,22,2,1250000,-1000000,-3764.763779527559,0.0,236.83562992125985
,22,3,1250000,-1000000,-3764.763779527559,0.0,710.5068897637796
